# Look up table (det,x,y,z) x,y,z in cm
# detID  x(cm) y(cm) z(cm)
3042,-89.1007,45.399,0
3043,-91.7755,39.7148,0
3044,-94.0881,33.8738,0
3045,-96.0294,27.8991,0
3046,-97.5917,21.8143,0
3047,-98.7688,15.6434,0
3048,-99.5562,9.41083,0
3049,-99.9507,3.14108,0
3050,-99.9507,-3.14108,0
3051,-99.5562,-9.41083,0
3052,-98.7688,-15.6434,0
3053,-97.5917,-21.8143,0
3054,-96.0294,-27.8991,0
3055,-94.0881,-33.8738,0
3056,-91.7755,-39.7148,0
3057,-89.1007,-45.399,0
3058,-86.0742,-50.9041,0
3059,-82.7081,-56.2083,0
3060,-79.0155,-61.2907,0
3061,-75.0111,-66.1312,0
3062,-70.7107,-70.7107,0
3063,-66.1312,-75.0111,0
3064,-61.2907,-79.0155,0
3065,-56.2083,-82.7081,0
3066,-50.9041,-86.0742,0
3067,-45.399,-89.1007,0
3068,-39.7148,-91.7755,0
3069,-33.8738,-94.0881,0
3070,-27.8991,-96.0294,0
3071,-21.8143,-97.5917,0
3072,-15.6434,-98.7688,0
3073,-9.41083,-99.5562,0
3074,-3.14108,-99.9507,0
3075,3.14108,-99.9507,0
3076,9.41083,-99.5562,0
3077,15.6434,-98.7688,0
3078,21.8143,-97.5917,0
3079,27.8991,-96.0294,0
3080,33.8738,-94.0881,0
3081,39.7148,-91.7755,0
3082,45.399,-89.1007,0
3083,50.9041,-86.0742,0
3084,56.2083,-82.7081,0
3085,61.2907,-79.0155,0
3086,66.1312,-75.0111,0
3087,70.7107,-70.7107,0
3088,75.0111,-66.1312,0
3089,79.0155,-61.2907,0
3090,82.7081,-56.2083,0
3091,86.0742,-50.9041,0
3092,89.1007,-45.399,0
3093,91.7755,-39.7148,0
3094,94.0881,-33.8738,0
3095,96.0294,-27.8991,0
3096,97.5917,-21.8143,0
3097,98.7688,-15.6434,0
3098,99.5562,-9.41083,0
3099,99.9507,-3.14108,0
